파일명,유사도(%),음성 인식 텍스트,정답 텍스트
PA_0002-1-01-03-M-07-A.wav,97.44,콘센트 구멍에 젓가락 집어 넣었어요,콘센트 구멍에 젓가락 집어 넣었어요.
PA_0002-2-01-03-M-07-A.wav,83.33,식칼에 손이 배웠는데 피가 계속 흐르네요,"식칼에 손이 베었는데, 피가 계속 흐르네요."
PA_0002-3-01-03-M-07-A.wav,94.44,갑자기 얼굴에 여드름이 올라와서,갑자기 얼굴에 여드름이 올라와서요.
PA_0002-4-01-03-M-07-A.wav,92.86,내 치료도 받고 심하면 수술도 받으려고 입원했어요,네. 치료도 받고 심하면 수술도 받으려고 입원했어요.
PA_0002-5-01-03-M-07-A.wav,96.43,눈에 진물이 나기 시작하더니 아프기까지 해서 왔어요,눈에 진물이 나기 시작하더니 아프기까지해서 왔어요.
PA_0002-6-01-03-M-07-A.wav,89.29,머리로 떨어져 되는데 크게 넘어지진 않은 거 같아요,머리로 떨어졌댔는데 크게 넘어지진 않은 거 같아요.
PA_0002-7-01-03-M-07-A.wav,94.92,수면 상태에 문제가 있는 거 같아서 병원에 방문했어요,수면 상태에 문제가 있는 것 같아서 병원에 방문했어요.
PA_0002-8-01-03-M-07-A.wav,0.0,[음성 인식 실패: 이해할 수 없는 음성],택시요.
PA_0002-9-01-03-M-07-A.wav,91.67,네 이렇게 들면 돼요,네. 이렇게 들면 돼요?
PA_0002-10-01-03-M-07-A.wav,90.32,너의 하루도 빠짐없이 했어요,거의 하루도 빠짐없이 했어요.
PA_0002-11-01-03-M-07-A.wav,94.74,접촉 사고를 냈는데 가슴이 아파서요,접촉사고를 냈는데 가슴이 아파서요.
PA_0002-12-01-03-M-07-A.wav,85.71,혈압이 떨어지는 거 갔다 왔어요,혈압이 떨어지는 거 같아 왔어요.
PA_0002-13-01-03-M-07-A.wav,96.3,물리적인 충격은 없었는데 거의 집에만 있었거든요,물리적인 충격은 없었는데. 거의 집에만 있었거든요.
PA_0002-14-01-03-M-07-A.wav,97.2,일주일 전에 테니스를 치다가 땅을 좀 세게 짚었는데 그때 뭐가 잘못됐는지 그때부터 아프더라고요,일주일 전에 테니스를 치다가 땅을 좀 세게 짚었는데 그때 뭐가 잘 못 됐는지 그때부터 아프더라고요.
PA_0002-15-01-03-M-07-A.wav,95.77,어떤 동작이나 음성을 목적이나 위도 없이 반복하는 증상이 있어요,어떤 동작이나 음성을 목적이나 의도 없이 반복하는 증상이 있어요.
PA_0002-16-01-03-M-07-A.wav,87.5,우리 외에는 아픈데 없었어요,머리 외에는 아픈 데 없었어요.
PA_0002-17-01-03-M-07-A.wav,99.15,몰랐던 새로운 사람들을 만나서 이야기를 나누는 것이 어느 순간 너무 무섭고 두렵게 느껴지게 되어 왔습니다,몰랐던 새로운 사람들을 만나서 이야기를 나누는 것이 어느 순간 너무 무섭고 두렵게 느껴지게 되어 왔습니다.
PA_0002-18-01-03-M-07-A.wav,93.88,지금 밤에 잠을 못 잘 정도로 온몸이 아프네요,지금 밤에 잠을 못잘정도로 온몸이 아프네요.
PA_0002-19-01-03-M-07-A.wav,93.33,여기 아래 중간쯤에 있어요,여기 아래 중간 쯤에 있어요.
PA_0002-20-01-03-M-07-A.wav,95.24,이틀 전부터 말을 하거나 기침하거나 숨을 크게 쉬거나 하면 목이 아팠어요,이틀 전부터 말을 하거나 기침 하거나 숨을 좀 크게 쉬거나 하면 목이 아팠어요.
PA_0002-22-01-03-M-07-A.wav,88.89,골반 뼈도 아파요,골반뼈도 아파요.
PA_0002-23-01-03-M-07-A.wav,93.33,오늘따라 혈압이 더 낮아서,오늘따라 혈압이 더 낮아서요.
PA_0002-24-01-03-M-07-A.wav,83.33,문제 없어요,문제없어요.
PA_0002-25-01-03-M-07-A.wav,92.68,아기가 분유만 먹으니까 물 토를 해요,애기가 분유만 먹으니까 물 토를 해요.
PA_0002-26-01-03-M-07-A.wav,97.14,현기증 때문에 생활이 불가능해요,현기증 때문에 생활이 불가능해요.
PA_0002-27-01-03-M-07-A.wav,86.67,초기 울렁거려서 계속 토했어요 설사도 여러 번 했고요,속이 울렁거려서 계속 토했어요. 설사도 여러 번 했구요.
PA_0002-28-01-03-M-07-A.wav,97.14,요도에 염증이 있다고 들었는데요,요도에 염증이 있다고 들었는데요.
PA_0002-29-01-03-M-07-A.wav,66.67,아랫배 가져요,아랫배 맞아요.
PA_0002-30-01-03-M-07-A.wav,96.0,엄지 발가락에 희고 딱딱한 덩어리가 생겼습니다,엄지발가락에 희고 딱딱한 덩어리가 생겼습니다.
PA_0002-31-01-03-M-07-A.wav,97.35,어깨를 돌리거나 발을 좀 심하게 쓴다거나 하면 어깨가 이렇게 톡 하고 빠지는 느낌이 있는 것 같습니다,어깨를 돌리거나 팔을 좀 심하게 쓴다거나 하면 어깨가 이렇게 톡 하고 빠지는 느낌이 있는 것 같습니다.
PA_0002-32-01-03-M-07-A.wav,85.71,먹지도 않는데 몸이 뚱뚱해졌어요,먹지도 않는데 몸이 뚱뚱해져서요.
PA_0002-33-01-03-M-07-A.wav,88.24,우느라 땀은 계속 났는데 여름 미열 정도 있었던 것 같아요,"우느라 땀은 계속 났는데, 열은 미열 정도 있었던 것 같아요."
PA_0002-34-01-03-M-07-A.wav,82.93,차량 부딪쳐서 무릎 양쪽 다 찢었어요,차랑 부딪혀서 무릎 양쪽 다 찧었어요.
PA_0002-35-01-03-M-07-A.wav,96.08,아기가 아픈 것 같지는 않은데 사타구니 근처에 만져지는게 있어서요 이런게 원래 다 있나요,아기가 아픈 것 같지는 않은데 사타구니 근처에 만져지는 게 있어서요. 이런 게 원래 다 있나요?
PA_0002-36-01-03-M-07-A.wav,66.67,우울증이 심해졌어요,우을증이 심해져서요.
PA_0002-37-01-03-M-07-A.wav,98.63,통원 치료가 사실 제일 좋긴 한데 입원하라고 하셔서 일단 했습니다,통원 치료가 사실 제일 좋긴 한데 입원하라고 하셔서 일단 했습니다.
PA_0002-38-01-03-M-07-A.wav,98.04,배가 많이 아프고 보통 아픔보다 심해서 왔어요,배가 많이 아프고 보통 아픔보다 심해서 왔어요.
PA_0002-39-01-03-M-07-A.wav,84.62,네가 종종 안 움직여요,다리가 종종 안 움직여요.
PA_0002-40-01-03-M-07-A.wav,77.78,흐리게 보여 줘요,흐리게 보여서요.
PA_0002-41-01-03-M-07-A.wav,93.33,아이가 기어 다니질 못해요,아이가 기어 다니질 못 해요.
PA_0002-42-01-03-M-07-A.wav,84.62,아래쪽이 좀 안 좋아서요,아랫쪽이 좀 안좋아서요.
PA_0002-43-01-03-M-07-A.wav,80.0,계속 콜록콜록 해요,"계속 콜록, 콜록 해요."
PA_0002-44-01-03-M-07-A.wav,98.18,성기 부분에 가려움증이 있고 약간 물집이 잡혔어요,성기 부분에 가려움증이 있고 약간 물집이 잡혔어요.
PA_0002-45-01-03-M-07-A.wav,92.31,아기가 어디가 계속 불편한지 울어요,애기가 어디가 계속 불편한지 울어요.
PA_0002-46-01-03-M-07-A.wav,97.44,무심코 뼈를 삼켰는데 목에 걸렸어요,무심코 뼈를 삼켰는데 목에 걸렸어요.
PA_0002-47-01-03-M-07-A.wav,95.24,아기가 오늘 하루 종일 울리고 이유식도 안 먹으려고 해서요,아기가 오늘 하루종일 울고 이유식도 안 먹으려고 해서요.
PA_0002-48-01-03-M-07-A.wav,94.44,아무래도 얼마 전에 회사에서 구조조정 다 하고 난 뒤로 새로 측정을 구하고는 있는데 맘처럼 쉽지 않아서 그 부분이 좀 스트레스예요,아무래도 얼마 전에 회사에서 구조조정 당하고 난 뒤로 새로 직장을 구하고는 있는데 맘처럼 쉽지 않아서 그 부분이 좀 스트레스예요.
PA_0002-50-01-03-M-07-A.wav,53.33,10분 내외로,십 분 내외요.
PA_0002-51-01-03-M-07-A.wav,94.74,그냥 힘이 없어요,그냥 힘이 없어요.
PA_0002-52-01-03-M-07-A.wav,89.8,귓구멍 입구에 상처가 나서 슈퍼가 좀 있어요,귓구멍 입구에 상처가 나서 수포가 좀 있어요.
PA_0002-53-01-03-M-07-A.wav,86.96,분유 말고는 먹은게 없는데 설사를 했어요,분유 말고는 먹은 게 없는데 설사를 해서요.
PA_0002-54-01-03-M-07-A.wav,92.96,앉았다가 일어나면 눈앞이 까마득해 어지럽고 구역질이 올라와요,앉았다가 일어나면 눈 앞이 까마득해지면서 어지럽고 구역질이 올라와요.
PA_0002-55-01-03-M-07-A.wav,96.55,토할 것 같고 속이 쓰려요,토할 것 같고 속이 쓰려요.
PA_0002-56-01-03-M-07-A.wav,81.48,오른쪽 두 번째 손가락 욕,오른쪽 두번째 손가락요.
PA_0002-57-01-03-M-07-A.wav,97.56,소변이 자꾸 마렵고 잔뇨가 늘 남아요,소변이 자꾸 마렵고 잔뇨가 늘 남아요.
PA_0002-58-01-03-M-07-A.wav,97.3,오른쪽 다리에 자주 경련이 와서요,오른쪽 다리에 자주 경련이 와서요.
PA_0002-59-01-03-M-07-A.wav,81.82,작은 근종 제거하러 입원하게 되었습니다,자궁근종 제거 하러 입원 하게 되었습니다.
PA_0002-60-01-03-M-07-A.wav,96.77,가슴이 계속 묵직하게 아파요,가슴이 계속 묵직하게 아파요.
PA_0002-61-01-03-M-07-A.wav,98.04,오른쪽 팔목이 좀 찌릿찌릿하게 아파서 왔습니다,오른쪽 팔목이 좀 찌릿찌릿하게 아파서 왔습니다.
PA_0002-62-01-03-M-07-A.wav,95.24,오른쪽 코에서입니다,오른쪽 코에서입니다.
PA_0002-63-01-03-M-07-A.wav,86.67,아기 기침 소리가 이상하네요,애기 기침소리가 이상하네요.
PA_0002-64-01-03-M-07-A.wav,88.89,왼쪽 무릎입니다,왼쪽 무릎 입니다.
PA_0002-65-01-03-M-07-A.wav,94.12,오른팔이 쑤셔요,오른팔이 쑤셔요.
PA_0002-66-01-03-M-07-A.wav,78.26,허리가 다 아파요,등 쪽 허리가 다 아파요.
PA_0002-67-01-03-M-07-A.wav,83.87,요도염 말고 나는 거 없네요,요도염 말곤 아는 거 없네요.
PA_0002-68-01-03-M-07-A.wav,98.18,먹은 것도 많이 없는데 헛구역질이 나고 그러는데요,먹은 것도 많이 없는데 헛구역질이 나고 그러는데요.
PA_0002-69-01-03-M-07-A.wav,82.35,허리가 걸려서요,허리가 결려서요.
PA_0002-70-01-03-M-07-A.wav,98.25,모래사장에서 맨발로 걷다가 조개껍질에 발을 다쳤어요,모래사장에서 맨발로 걷다가 조개껍질에 발을 다쳤어요.
PA_0002-71-01-03-M-07-A.wav,93.02,어디가 아픈 건지 모여도 잘 못 먹어요,어디가 아픈 건지 모유도 잘 못 먹어요.
PA_0002-72-01-03-M-07-A.wav,94.74,간단히는 들었네요,간단히는 들었네요.
PA_0002-73-01-03-M-07-A.wav,83.87,자다 깨다 자꾸 반복하다 보니까 너무 힘들어서요,꿈도 많이 꾸고 자다 깨다 자꾸 반복하다 보니까 너무 힘들어서요.
PA_0002-74-01-03-M-07-A.wav,93.1,내과에서 대상포진이 진단 받았는데 못 참게 아파서요,내과에서 대상포진이라고 진단 받았는데 못참게 아파서요.
PA_0002-75-01-03-M-07-A.wav,97.3,다리가 퉁퉁 부어서 쑤시고 아파요,다리가 퉁퉁 부어서 쑤시고 아파요.
PA_0002-76-01-03-M-07-A.wav,91.67,오른쪽 윗부분 보세요,오른쪽 윗 부분 보세요.
PA_0002-77-01-03-M-07-A.wav,95.77,자꾸 스스로 깊이 잠들지 못하고 약에 유지하게 되는 것 같아서요,자꾸 스스로 깊이 잠들지 못하고 약에 의지하게 되는 것 같아서요.
PA_0002-78-01-03-M-07-A.wav,93.33,거기 아닙니다,거기 아닙니다.
PA_0002-79-01-03-M-07-A.wav,82.05,열이 처음에 38.5도 그래서 약을 먹었더니 37도로 좀 떨어지기만 했지 열이 다 내리진 않더라고요,열이 처음에 삼십팔점오 도였고 그래서 약을 먹였더니 삼십칠 도로 좀 떨어지기만 했지 열이 다 내리진 않더라고요.
PA_0002-80-01-03-M-07-A.wav,97.78,등 있는 부분에 알레르기가 계속 올라와요,등 있는 부분에 알레르기가 계속 올라와요.
PA_0002-81-01-03-M-07-A.wav,97.81,실은 제가 통풍에 있어서 약을 계속 복용 중입니다 병원에서는 꼭 금주 하여야 한다고 말씀을 하셨는데 일이 너무 힘이 들고 땀도 많이 흘리다 보니 술을 끊을 수가 없더라고요 그래도 큰 문제 없이 지냈는데 이제 전부터 몸이 많이 힘들고 옆구리가 너무 아파서 결국 술 때문에 문제가 생겼나 보다 하고 오늘 병원을 방문하게 되었습니다,실은 제가 통풍이 있어서 약을 계속 복용 중입니다. 병원에서는 꼭 금주하여야 한다고 말씀을 하셨는데 일이 너무 힘이 들고 땀도 많이 흘리다 보니 술을 끊을 수가 없더라고요. 그래도 큰 문제 없이 지냈는데 이주 전부터 몸이 많이 힘들고 옆구리가 너무 아파서 결국 술 때문에 문제가 생겼나 보다 하고 오늘 병원을 방문하게 되었습니다.
PA_0002-82-01-03-M-07-A.wav,90.48,이 안쪽이 너무 간지럽다 못해 아파요,귀 안쪽이 너무 간지럽다 못 해 아파요.
PA_0002-83-01-03-M-07-A.wav,94.12,발에 가시가 박힌 거 같은데 빠져나오질 않아요,발에 가시가 박힌 것 같은데 빠져나오질 않아요.
PA_0002-84-01-03-M-07-A.wav,61.9,전반적으로 어지러움과 꿈에 시끄러워요,전반적으로 어지러운 것 같고 메스꺼워요.
PA_0002-85-01-03-M-07-A.wav,90.32,고환 하나가 없는 거 같아요,고환 하나가 없는 것 같아요.
PA_0002-86-01-03-M-07-A.wav,96.67,시골 할머니 집에서 수돗물을 마셨는데 배가 아파 왔어요,시골 할머니집에서 수돗물을 마셨는데 배가 아파 왔어요.
PA_0002-87-01-03-M-07-A.wav,90.91,애가 친구들이랑 놀다가 다친 거라서요,네. 애가 친구들이랑 놀다가 다친 거라서요.
PA_0002-88-01-03-M-07-A.wav,97.56,거의 죽만 먹어서 죽 같은 토를 해요,거의 죽만 먹어서 죽 같은 토를 해요.
PA_0002-89-01-03-M-07-A.wav,92.13,다른 건 없는 거 같고 떨어지면서 왼쪽 팔로 떨어졌고 크게 쿵 소리가 났어요,"다른 건 없는 것 같고, 떨어지면서 왼쪽 팔로 떨어졌고, 크게 쿵 소리가 났어요."
PA_0002-90-01-03-M-07-A.wav,95.38,갑자기 입술이 마비된 것 같은 적이 있어요 금방 나아졌고,갑자기 입술이 마비된 것 같은 적이 있어요. 금방 나아졌고요.
PA_0002-91-01-03-M-07-A.wav,75.0,기흥 가지고 있어요,네. 기흉 가지고 있어요.
PA_0002-92-01-03-M-07-A.wav,96.0,아랫니 두 개가 아파요,아랫니 두 개가 아파요.
PA_0002-93-01-03-M-07-A.wav,92.31,가슴 왼쪽 부분에 어제보다 통증이 있는데 이유를 모르겠어요,가슴 왼쪽 부분에 어제부터 통증이 있는데 이유를 모르겠어요.
PA_0002-94-01-03-M-07-A.wav,87.18,화장실에서 넘어져서 발목이 삐졌다,화장실에서 넘어져서 발목이 삐었습니다.
PA_0002-95-01-03-M-07-A.wav,61.9,허리가 더 아파서 왔어요,아니요. 화상도 화상이지만 허리가 더 아파서 왔어요.
PA_0002-96-01-03-M-07-A.wav,86.96,저녁을 먹고 갑자기 쓰러지고 초대했습니다,저녁을 먹고 갑자기 쓰러지고 토도 했습니다.
PA_0002-97-01-03-M-07-A.wav,89.66,왼쪽이 여기 무릎 아래요,왼쪽이요. 여기 무릎 아래요.
PA_0002-98-01-03-M-07-A.wav,88.24,밤새 뒤척이다 잠을 못 잤어요,밤새 뒤척이느라 잠을 못 잤어요.
PA_0002-99-01-03-M-07-A.wav,95.65,코피 때문에 왔습니다,코피 때문에 왔습니다.
PA_0002-100-01-03-M-07-A.wav,97.3,밥 먹는 중에도 토한 적 있어서요,밥 먹는 중에도 토한 적 있어서요.
PA_0002-101-01-03-M-07-A.wav,98.41,아침에 하품을 하다 턱에서 딱 소리가 나고 아파서 왔어요,아침에 하품을 하다 턱에서 딱 소리가 나고 아파서 왔어요.
PA_0002-102-01-03-M-07-A.wav,96.15,오토바이 페달 알바 하다가 사고가 났는데 그 이후로 다리에 계속 통증이 있고 붓기도 안 빠져요,오토바이 배달 알바하다가 사고가 났는데 그 이후로 다리에 계속 통증이 있고 붓기도 안 빠져요.
PA_0002-103-01-03-M-07-A.wav,97.67,숨쉬기 가끔 어렵고 기침 가래는 없어요,숨쉬기 가끔 어렵고 기침 가래는 없어요.
PA_0002-104-01-03-M-07-A.wav,90.91,아픈 부위에 열 감기 같은 거 느껴 본 적 없는데요,아픈 부위에 열감기 같은 건 느껴본 적 없는데요.
PA_0002-105-01-03-M-07-A.wav,92.68,소변 주기가 너무 약해져서 방문했어요,소변 줄기가 너무 약해져서 방문했어요.
PA_0002-106-01-03-M-07-A.wav,96.97,눈 감을 때마다 눈알이 아파요,눈 감을 때마다 눈알이 아파요.
PA_0002-107-01-03-M-07-A.wav,99.08,일주일 전에 여기서 팔 수술을 했어요 근데 요즘 수술 부위가 좀 과하게 아프고 약간 살이 이상해요,일주일 전에 여기서 팔 수술을 했어요 근데 요즘 수술 부위가 좀 과하게 아프고 약간 살이 이상해요.
PA_0002-108-01-03-M-07-A.wav,86.49,가슴이 쿡쿡 찌르는듯한 통증이,가슴이 쿡 쿡 찌르는 듯한 통증이에요.
PA_0002-109-01-03-M-07-A.wav,89.66,싸우다가 옆구리를 맞았는데 갈비뼈가 다칠 것 같아요,싸우다가 옆구리를 맞았는데 갈비뼈까지 다친 것 같아요.
PA_0002-110-01-03-M-07-A.wav,53.33,37도입니다,삼십칠 도입니다.
PA_0002-111-01-03-M-07-A.wav,72.73,짚신 소리가 이상해서 아기를 데리고 왔어요,기침소리가 이상해서 애기를 데려왔어요.
PA_0002-112-01-03-M-07-A.wav,96.43,차에 부딪히면서 넘어졌는데 머리에서 자꾸 피가나요,차에 부딪히면서 넘어졌는데 머리에서 자꾸 피가 나요.
PA_0002-113-01-03-M-07-A.wav,84.85,네 지난주에 왔는데 검사 차 이번에 또 오라고 하셨어요,"네. 지난 주에 왔는데, 검사 차 이번에 또 오라고 하셔서요."
PA_0002-114-01-03-M-07-A.wav,80.0,4일 전에 항암 치료 했는데요 열이 많이납니다,"사흘 전에 항암치료를 했는데요, 열이 많이 납니다."
PA_0002-115-01-03-M-07-A.wav,57.14,양 고한 이유,양 고환이요.
PA_0002-116-01-03-M-07-A.wav,90.91,아래쪽 왼쪽부터 다섯 번째요,아래 쪽 왼쪽부터 다섯 번 째요.
PA_0002-117-01-03-M-07-A.wav,92.31,이 때문에요,이 때문에요.
PA_0002-118-01-03-M-07-A.wav,93.33,숨 쉴 때마다 아파요 허리가,숨 쉴때마다 아파요 허리가.
PA_0002-119-01-03-M-07-A.wav,82.93,크기를 겪고 놀라서 잠이 오질 않아요,큰일을 겪고 놀라서 잠이 오질 않아요.
PA_0002-120-01-03-M-07-A.wav,96.0,평소에 빈혈이 심합니다,평소에 빈혈이 심합니다.
PA_0002-121-01-03-M-07-A.wav,91.67,볼펜 뚜껑을 삼켰어요,볼 펜 뚜껑을 삼켰어요.
PA_0002-122-01-03-M-07-A.wav,96.0,왼쪽 다리 관절 쪽이요,왼쪽 다리 관절 쪽이요.
PA_0002-123-01-03-M-07-A.wav,88.89,야구공의 눈가를 맞았어요,야구공에 눈가를 맞았어요.
PA_0002-124-01-03-M-07-A.wav,76.47,농구화가 다리를 삐끗 같아요,농구하다 다리를 삐끗한 것 같아요.
PA_0002-125-01-03-M-07-A.wav,80.0,내 아까 들었어요,네. 아까 들었어요.
PA_0002-126-01-03-M-07-A.wav,89.66,유액이 역류하는 느낌이에요,위액이 역류하는 느낌이에요.
PA_0002-127-01-03-M-07-A.wav,94.29,두 달 전에 담낭 절제술을 했는데 뭔가 잘못된 것 같아서 왔어요,두달전에 담낭 절제술을 했는데 뭔가 잘못 된 것 같아서 왔어요.
PA_0002-128-01-03-M-07-A.wav,94.44,발꿈치 바닥 쪽을 다친 것 같아요,발꿈치 바닥쪽을 다친 것 같아요.
PA_0002-129-01-03-M-07-A.wav,90.91,눈이 뿌옇고 했어요,눈이 뿌옇다고 했어요.
PA_0002-130-01-03-M-07-A.wav,88.24,보라한테 쏘이고 아파서 왔습니다,벌한테 쏘이고 아파서 왔습니다.
PA_0002-131-01-03-M-07-A.wav,91.89,감사하고 결과를 기다리는 중이에요,검사하고 결과를 기다리는 중이에요.
